======================================================================
Total cycles: 105068

Exclusive elapsed times for each method, not including time spent in
children, sorted by exclusive time.

    Usecs  self %  sum %  Method
      147    0.14  74.29  [235] android/text/method/ReplacementTransformationMethod.getTransformation (Ljava/lang/CharSequence;Landroid/view/View;)Ljava/lang/CharSequence;
      145    0.14  74.42  [110] android/content/res/AssetManager.getResourceValue (IILandroid/util/TypedValue;Z)Z
      144    0.14  74.56  [426] android/graphics/Matrix.native_create (I)I
      144    0.14  74.70  [76] android/view/View.setLayoutParams (Landroid/view/ViewGroup$LayoutParams;)V
      142    0.14  74.83  [429] android/view/View.setOverScrollMode (I)V
      141    0.13  74.97  [220] android/graphics/drawable/Drawable.setState ([I)Z
      139    0.13  75.10  [226] android/view/ViewGroup.makeOptionalFitsSystemWindows ()V
      137    0.13  75.23  [285] android/content/res/ColorStateList.valueOf (I)Landroid/content/res/ColorStateList;
      137    0.13  75.36  [332] android/graphics/Bitmap.hasAlpha ()Z
      136    0.13  75.49  [434] android/graphics/Paint.setFlags (I)V
      134    0.13  75.62  [436] android/util/TypedValue.applyDimension (IFLandroid/util/DisplayMetrics;)F
      134    0.13  75.74  [34] android/widget/FrameLayout.<init> (Landroid/content/Context;)V
      133    0.13  75.87  [437] android/graphics/Rect.<init> ()V
      132    0.13  76.00  [344] android/util/LongSparseArray.put (JLjava/lang/Object;)V
      132    0.13  76.12  [127] java/lang/Class.getConstructorOrMethod (Ljava/lang/String;ZZ[Ljava/lang/Class;)Ljava/lang/reflect/Member;
      130    0.12  76.25  [444] android/content/res/TypedArray.getIndexCount ()I
      127    0.12  76.37  [448] android/os/Parcel.nativeWriteString (ILjava/lang/String;)V
      127    0.12  76.49  [400] java/util/HashMap.addNewEntry (Ljava/lang/Object;Ljava/lang/Object;II)V
      126    0.12  76.61  [449] android/graphics/drawable/Drawable.getChangingConfigurations ()I
      125    0.12  76.73  [72] android/content/pm/IPackageManager$Stub$Proxy.getActivityInfo (Landroid/content/ComponentName;II)Landroid/content/pm/ActivityInfo;
      122    0.12  76.84  [445] android/graphics/Bitmap.getWidth ()I
      122    0.12  76.96  [250] android/view/View.recomputePadding ()V
      122    0.12  77.07  [456] java/lang/ref/Reference.get ()Ljava/lang/Object;
      120    0.11  77.19  [459] android/graphics/Bitmap.nativeHasAlpha (I)Z
      119    0.11  77.30  [442] android/view/View.getListenerInfo ()Landroid/view/View$ListenerInfo;
      119    0.11  77.42  [393] android/widget/RelativeLayout.initFromAttributes (Landroid/content/Context;Landroid/util/AttributeSet;)V
      119    0.11  77.53  [16] com/android/internal/widget/ActionBarView.setDisplayOptions (I)V
      118    0.11  77.64  [378] java/lang/String._getChars (II[CI)V
      117    0.11  77.75  [194] java/lang/StringBuilder.append (Ljava/lang/String;)Ljava/lang/StringBuilder;
      116    0.11  77.86  [392] android/content/ContextWrapper.getContentResolver ()Landroid/content/ContentResolver;
      116    0.11  77.97  [317] android/widget/RelativeLayout$LayoutParams.<init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
      115    0.11  78.08  [217] android/view/animation/Transformation.clear ()V
      114    0.11  78.19  [80] android/widget/LinearLayout.generateLayoutParams (Landroid/util/AttributeSet;)Landroid/widget/LinearLayout$LayoutParams;
      113    0.11  78.30  [468] android/app/LoadedApk.getApplicationInfo ()Landroid/content/pm/ApplicationInfo;
      112    0.11  78.41  [408] android/graphics/drawable/ColorDrawable.getConstantState ()Landroid/graphics/drawable/Drawable$ConstantState;
      112    0.11  78.51  [262] android/view/View.makeOptionalFitsSystemWindows ()V
      112    0.11  78.62  [362] android/widget/TextView.onCreateDrawableState (I)[I
      112    0.11  78.73  [469] java/lang/String.fastIndexOf (II)I
      111    0.11  78.83  [446] android/content/res/TypedArray.getLayoutDimension (ILjava/lang/String;)I
      111    0.11  78.94  [5] android/view/LayoutInflater.inflate (ILandroid/view/ViewGroup;Z)Landroid/view/View;
      110    0.10  79.04  [165] android/sec/enterprise/EnterpriseDeviceManager.getService ()Landroid/sec/enterprise/IEDMProxy;
      109    0.10  79.14  [107] android/content/res/AssetManager.openXmlBlockAsset (ILjava/lang/String;)Landroid/content/res/XmlBlock;
      109    0.10  79.25  [473] android/graphics/NinePatch.getDensity ()I
